"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"1","1984564","profile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(1280, 640, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0.00"
"1","1984564","profile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(1280, 640, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","838,860,800.00"
"1","1984564","profile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(1280, 640, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0.00"
"1","1984564","profile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(1280, 640, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0.00"
"1","1984564","profile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(1280, 640, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hfma_pred_on.sum","inst","0.00"
"1","1984564","profile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(1280, 640, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmul_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","4,394,965,922,944.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","171,805,402,726,400.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","byte","13,077,104,026,080.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__cycles_elapsed.avg","cycle","28,293,058,736.76"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__cycles_elapsed.avg.per_second","cycle/second","764,999,997.55"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","104,857,600.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","34,359,738,368,000.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hfma_pred_on.sum","inst","3,355,443,200.00"
"2","1984564","profile","127.0.0.1","void gemm_v0<float>(T1 *, T1 *, T1 *, int, int, int)","1","7","(32, 32, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmul_pred_on.sum","inst","0.00"
